#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bohemian;Czech;Tchèque;Tschechisch;;Czech;;;;;;;x
bolghar;Bolghar;Bulgare;Wolga-Bulgarisch;;Bolghar;;;;;;;;;x
bafour;Bafour;Bafour;Bafurisch;;Bafour;;;;;;;;;x
coptic;Sahidic;Sahidic;Koptisch;;Sahidic;;;;;;;;;x
coptic_group;Coptic;Coptic;Koptisch;;Coptic;;;;;;;;;x
crusader_group;Crusader;Croisé;Kreuzritter;;Crusader;;;;;;;;;x
dnepr_slav;Dnepr Slav;Dnepr Slav;Dnjeprische Slawen;;Dnepr Slav;;;;;;;;;
dnestr_slav;Dnestr Slav;Dnestr Slav;Dnjeprischer Slawe;;Dnestr Slav;;;;;;;;;
english_norse;Anglo-Norse;Anglo-Scandinave;Anglisch-Skandinavier;;Anglo-Norse;;;;;;x
gallawa;Gallawa;Gallawa;Gallowaisch;;Gallawa;;;;;;;;;x
icelandic;Icelandic;Islandais;Isländisch;;Icelandic;;;;;;;;;x
iranian;Iranian;Iranien;Iranisch;;Iraní;;;;;;;;;x
jolof;Jolof;Djolof;Jolofisch;;Jolof;;;;;;;;;x
judaic;Judaic;Judaïque;Jüdisch;;Judaic;;;;;;;;;x
khazar;Khazar;Khazare;Khazarisch;;Khazar;;;;;;;;;x
mizrahim;Mizrahim;Mizrahim;Mizrahim;;Mizrahim;;;;;;;;;x
nubian;Nubian;Nubien;Nubisch;;Nubian;;;;;;;x
outremer;Outremer;Outremer;Outremerisch;;Outremer;;;;;;;x
pommeranian;Wend;Poméranien;Pommerisch;;Wend;;;;;;;x
saxon;Anglo-Saxon;Anglo-Saxon;Angelsächsisch;;Anglo-Saxon;;;;;;;x
sephardic;Sephardic;Séfarade;Sephardisch;;Sephardic;;;;;;;;;x
sicilian;Sicilian;Sicilien;Sizilianisch;;Sicilian;;;;;;;;;x
sicilian_arabic;Siculo-Arabic;Sicilien-Arabe;Sizilianisch-Arabisch;;Siculo-Arabic;;;;;;;;;x
sicilian_greek;Siculo-Greek;Sicilien-Grec;Sizilianisch-Griechisch;;Siculo-Greek;;;;;;;;;x
somali;Somali;Somalien;Somalisch;;Somali;;;;;;;x
sosso;Sosso;Sosso;Susuisch;;Sosso;;;;;;;;;x
ugricbaltic;Estonian;Estonien;Estländischer;;Estonia;;;;;;;;;x
volga_slav;Volga Slav;Volga Slav;Wolga Slawen;;Volga Slav;;;;;;;;;
arberian;Albanian;Albanian;Albanisch;;Albanian;;;;;;;;;x
assyrian;Assyrian;Assyrian;Assyrisch;;Assyrian;;;;;;;;;x
aramaic;Aramaic;Aramaic;Aramäisch;;Aramaic;;;;;;;;;x
beja;Beja;Beja;Bejaisch;;Beja;;;;;;;;;x
songhai;Songhai;Songhai;Songhaiisch;;Songhai;;;;;;;;;x
east_germanic;East Germanic;Est Germanique;Ostgermanisch;Este Germánico;;;;;;x
