#Other localisations will default to English.
#CODE;ENGLISH;;;;;;;;;;;;;x
prepare_raid;Prepare Raid;;;;;;;;;;;;;x
prepare_raid_desc;Begin preparation for a raid.;;;;;;;;;;;;;x
EVTDESC_Plus_3500;It is time to make a decision about the upcoming raid.;;;;;;;;;;;;;x
EVTTOOLTIP_Plus_3500;Raid preparation begins.;;;;;;;;;;;;;x
EVTOPTA_Plus_3500;We will go across the sea!;;;;;;;;;;;;;x
EVTOPTA_Plus_3500_tooltip;You will prepare boats, and go across the sea into the unknown. Select target by right clicking the desired target county title.;;;;;;;;;;;;;x
EVTOPTB_Plus_3500;Neighbouring realms look rich enough!;;;;;;;;;;;;;x
EVTOPTB_Plus_3500_tooltip;You will go pillaging a random settlement.;;;;;;;;;;;;;x
select_for_raid;Select for Raid;;;;;;;;;;;;;x
select_for_raid_desc;This county will be the target for your raid.;;;;;;;;;;;;;x
EVTDESC_Plus_3501;I need to decide how big the raid should be.;;;;;;;;;;;;;x
EVTOPTA_Plus_3501;Moderation is the key!;;;;;;;;;;;;;x
EVTOPTA_Plus_3501_tooltip;You take half of your men and boats. The rest should stay home and protect the realm.;;;;;;;;;;;;;x
EVTDESC_PLUS_3502;Strange ships were spoted near the coast. They could be raiders...;;;;;;;;;;;;;x
EVTOPTA_Plus_3502;We must prepare our defences!;;;;;;;;;;;;;x
EVTOPTA_Plus_3502_tooltip;You send scouts to the coast, to monitor the invaders.;;;;;;;;;;;;;x
EVTDESC_Plus_3503;We are nearing our target. They've probably spotted us already. It's not goint to help them much.;;;;;;;;;;;;;x
EVTOPTA_Plus_3503;Countryside is an easy target.;;;;;;;;;;;;;x
EVTOPTA_Plus_3503_tooltip;You begin pillaging countryside.;;;;;;;;;;;;;x
EVTOPTB_Plus_3503;That city looks rich.;;;;;;;;;;;;;x
EVTOPTB_Plus_3503_tooltip;You try to pillage the city.;;;;;;;;;;;;;x
EVTOPTC_Plus_3503;I never liked these infidels.;;;;;;;;;;;;;x
EVTOPTC_Plus_3503_tooltip;You try to pillage the temple.;;;;;;;;;;;;;x
EVTOPTD_Plus_3503;All or nothing!;;;;;;;;;;;;;x
EVTOPTD_Plus_3503_tooltip;You attack their capital holding.;;;;;;;;;;;;;x
EVTDESC_Plus_3504;I can't belive this. My scouts report that raiders are attacking defenseless peasants!;;;;;;;;;;;;;x
